filename	category
movie-enter-6350599.txt	movie-enter
movie-enter-6838691.txt	movie-enter
kaden-channel-6314262.txt	kaden-channel
kaden-channel-6192668.txt	kaden-channel
dokujo-tsushin-5607302.txt	dokujo-tsushin
it-life-hack-6318520.txt	it-life-hack
kaden-channel-6840259.txt	kaden-channel
kaden-channel-6061398.txt	kaden-channel
livedoor-homme-5736681.txt	livedoor-homme
livedoor-homme-5551409.txt	livedoor-homme
sports-watch-6427340.txt	sports-watch
smax-6674906.txt	smax
kaden-channel-6061045.txt	kaden-channel
topic-news-6822413.txt	topic-news
it-life-hack-6884012.txt	it-life-hack
it-life-hack-6352933.txt	it-life-hack
it-life-hack-6769261.txt	it-life-hack
movie-enter-5914409.txt	movie-enter
topic-news-6309513.txt	topic-news
sports-watch-6182921.txt	sports-watch
smax-6671898.txt	smax
smax-6916709.txt	smax
peachy-5795854.txt	peachy
peachy-6771937.txt	peachy
peachy-5391436.txt	peachy
peachy-6661820.txt	peachy
livedoor-homme-4692769.txt	livedoor-homme
movie-enter-6091405.txt	movie-enter
dokujo-tsushin-4905606.txt	dokujo-tsushin
dokujo-tsushin-5898451.txt	dokujo-tsushin
peachy-5280401.txt	peachy
livedoor-homme-4741679.txt	livedoor-homme
movie-enter-5958928.txt	movie-enter
dokujo-tsushin-5247353.txt	dokujo-tsushin
kaden-channel-5845309.txt	kaden-channel
peachy-4815186.txt	peachy
movie-enter-6699109.txt	movie-enter
it-life-hack-6351981.txt	it-life-hack
smax-6536934.txt	smax
dokujo-tsushin-5540287.txt	dokujo-tsushin
kaden-channel-6551711.txt	kaden-channel
sports-watch-6199543.txt	sports-watch
livedoor-homme-4740345.txt	livedoor-homme
sports-watch-6042218.txt	sports-watch
it-life-hack-6557615.txt	it-life-hack
sports-watch-6348233.txt	sports-watch
kaden-channel-5937248.txt	kaden-channel
peachy-4818614.txt	peachy
livedoor-homme-5512026.txt	livedoor-homme
kaden-channel-6048310.txt	kaden-channel
peachy-6706836.txt	peachy
topic-news-6369052.txt	topic-news
kaden-channel-6160440.txt	kaden-channel
smax-6788828.txt	smax
peachy-4304732.txt	peachy
livedoor-homme-5625252.txt	livedoor-homme
movie-enter-6074059.txt	movie-enter
livedoor-homme-5842557.txt	livedoor-homme
sports-watch-6267033.txt	sports-watch
smax-6769077.txt	smax
dokujo-tsushin-6325130.txt	dokujo-tsushin
kaden-channel-6738506.txt	kaden-channel
topic-news-6261053.txt	topic-news
it-life-hack-6451189.txt	it-life-hack
smax-6507564.txt	smax
kaden-channel-6302597.txt	kaden-channel
kaden-channel-5920054.txt	kaden-channel
kaden-channel-6554020.txt	kaden-channel
livedoor-homme-5810913.txt	livedoor-homme
peachy-6136783.txt	peachy
movie-enter-5902577.txt	movie-enter
sports-watch-4994682.txt	sports-watch
movie-enter-5859303.txt	movie-enter
topic-news-6282985.txt	topic-news
it-life-hack-6615323.txt	it-life-hack
topic-news-6076877.txt	topic-news
topic-news-6395644.txt	topic-news
kaden-channel-6285619.txt	kaden-channel
sports-watch-6518578.txt	sports-watch
smax-6637825.txt	smax
peachy-6017152.txt	peachy
peachy-6732572.txt	peachy
peachy-4495571.txt	peachy
peachy-4835748.txt	peachy
topic-news-6681500.txt	topic-news
sports-watch-6284432.txt	sports-watch
dokujo-tsushin-6783323.txt	dokujo-tsushin
smax-6606171.txt	smax
topic-news-5949015.txt	topic-news
peachy-6572715.txt	peachy
kaden-channel-5800735.txt	kaden-channel
dokujo-tsushin-5738688.txt	dokujo-tsushin
livedoor-homme-4662355.txt	livedoor-homme
movie-enter-5912334.txt	movie-enter
kaden-channel-6088132.txt	kaden-channel
peachy-4986975.txt	peachy
movie-enter-5931721.txt	movie-enter
smax-6680432.txt	smax
dokujo-tsushin-6543226.txt	dokujo-tsushin
topic-news-6030117.txt	topic-news
kaden-channel-6371309.txt	kaden-channel
kaden-channel-6033369.txt	kaden-channel
kaden-channel-6827728.txt	kaden-channel
it-life-hack-6317403.txt	it-life-hack
it-life-hack-6754747.txt	it-life-hack
kaden-channel-6142952.txt	kaden-channel
dokujo-tsushin-5696382.txt	dokujo-tsushin
sports-watch-5064376.txt	sports-watch
smax-6581747.txt	smax
peachy-5105448.txt	peachy
topic-news-6559973.txt	topic-news
movie-enter-6794030.txt	movie-enter
smax-6814410.txt	smax
sports-watch-4899720.txt	sports-watch
dokujo-tsushin-4778031.txt	dokujo-tsushin
dokujo-tsushin-5467479.txt	dokujo-tsushin
livedoor-homme-5695255.txt	livedoor-homme
dokujo-tsushin-5598425.txt	dokujo-tsushin
dokujo-tsushin-6427970.txt	dokujo-tsushin
sports-watch-5530693.txt	sports-watch
movie-enter-6751039.txt	movie-enter
movie-enter-6612680.txt	movie-enter
kaden-channel-6163307.txt	kaden-channel
topic-news-6155709.txt	topic-news
kaden-channel-6031869.txt	kaden-channel
sports-watch-6235530.txt	sports-watch
movie-enter-5978741.txt	movie-enter
smax-6644024.txt	smax
smax-6871321.txt	smax
sports-watch-6759512.txt	sports-watch
it-life-hack-6730224.txt	it-life-hack
peachy-6792863.txt	peachy
peachy-4514853.txt	peachy
livedoor-homme-6076434.txt	livedoor-homme
smax-6868794.txt	smax
topic-news-5937779.txt	topic-news
sports-watch-5941949.txt	sports-watch
livedoor-homme-5825778.txt	livedoor-homme
peachy-6502983.txt	peachy
it-life-hack-6857231.txt	it-life-hack
peachy-4931401.txt	peachy
dokujo-tsushin-6025832.txt	dokujo-tsushin
livedoor-homme-5006873.txt	livedoor-homme
peachy-6886196.txt	peachy
topic-news-6151318.txt	topic-news
dokujo-tsushin-5563674.txt	dokujo-tsushin
movie-enter-5878782.txt	movie-enter
sports-watch-5082725.txt	sports-watch
kaden-channel-6563063.txt	kaden-channel
peachy-4511598.txt	peachy
it-life-hack-6464209.txt	it-life-hack
smax-6753264.txt	smax
it-life-hack-6759236.txt	it-life-hack
movie-enter-5975520.txt	movie-enter
sports-watch-6304560.txt	sports-watch
dokujo-tsushin-5468186.txt	dokujo-tsushin
smax-6878961.txt	smax
dokujo-tsushin-5180407.txt	dokujo-tsushin
dokujo-tsushin-6190839.txt	dokujo-tsushin
dokujo-tsushin-6435886.txt	dokujo-tsushin
peachy-4976113.txt	peachy
movie-enter-6077002.txt	movie-enter
peachy-4634646.txt	peachy
peachy-6136709.txt	peachy
topic-news-6897478.txt	topic-news
livedoor-homme-5769316.txt	livedoor-homme
smax-6800877.txt	smax
peachy-6549352.txt	peachy
dokujo-tsushin-5164307.txt	dokujo-tsushin
it-life-hack-6678811.txt	it-life-hack
peachy-4832995.txt	peachy
smax-6868880.txt	smax
topic-news-6391150.txt	topic-news
kaden-channel-5934130.txt	kaden-channel
dokujo-tsushin-5685413.txt	dokujo-tsushin
livedoor-homme-6810014.txt	livedoor-homme
topic-news-6557651.txt	topic-news
livedoor-homme-5769319.txt	livedoor-homme
kaden-channel-6176457.txt	kaden-channel
it-life-hack-6559534.txt	it-life-hack
movie-enter-6317558.txt	movie-enter
dokujo-tsushin-6203912.txt	dokujo-tsushin
topic-news-6120992.txt	topic-news
topic-news-6275934.txt	topic-news
it-life-hack-6569526.txt	it-life-hack
peachy-5084377.txt	peachy
movie-enter-6172146.txt	movie-enter
livedoor-homme-5154016.txt	livedoor-homme
it-life-hack-6788402.txt	it-life-hack
dokujo-tsushin-5858077.txt	dokujo-tsushin
topic-news-6415438.txt	topic-news
sports-watch-5387061.txt	sports-watch
dokujo-tsushin-5753985.txt	dokujo-tsushin
kaden-channel-6056409.txt	kaden-channel
movie-enter-6793666.txt	movie-enter
movie-enter-6674489.txt	movie-enter
topic-news-6871429.txt	topic-news
peachy-4443079.txt	peachy
it-life-hack-6410038.txt	it-life-hack
kaden-channel-6170455.txt	kaden-channel
movie-enter-5914609.txt	movie-enter
movie-enter-6269274.txt	movie-enter
smax-6680196.txt	smax
movie-enter-6374486.txt	movie-enter
smax-6917854.txt	smax
it-life-hack-6306547.txt	it-life-hack
smax-6684602.txt	smax
peachy-6223989.txt	peachy
smax-6563588.txt	smax
sports-watch-4970500.txt	sports-watch
it-life-hack-6587522.txt	it-life-hack
livedoor-homme-5012832.txt	livedoor-homme
kaden-channel-6370609.txt	kaden-channel
movie-enter-6326642.txt	movie-enter
sports-watch-5842009.txt	sports-watch
sports-watch-5766838.txt	sports-watch
sports-watch-5631303.txt	sports-watch
dokujo-tsushin-6476990.txt	dokujo-tsushin
movie-enter-6897614.txt	movie-enter
it-life-hack-6772384.txt	it-life-hack
dokujo-tsushin-4971076.txt	dokujo-tsushin
peachy-5179422.txt	peachy
movie-enter-6532347.txt	movie-enter
kaden-channel-6066088.txt	kaden-channel
topic-news-6101874.txt	topic-news
movie-enter-5943845.txt	movie-enter
peachy-5082699.txt	peachy
it-life-hack-6785191.txt	it-life-hack
smax-6512045.txt	smax
topic-news-6612299.txt	topic-news
it-life-hack-6706272.txt	it-life-hack
peachy-5022542.txt	peachy
sports-watch-6194030.txt	sports-watch
topic-news-6631170.txt	topic-news
topic-news-6214127.txt	topic-news
smax-6648178.txt	smax
sports-watch-5766224.txt	sports-watch
dokujo-tsushin-6851257.txt	dokujo-tsushin
topic-news-6647381.txt	topic-news
dokujo-tsushin-6033284.txt	dokujo-tsushin
smax-6594621.txt	smax
dokujo-tsushin-6502782.txt	dokujo-tsushin
it-life-hack-6440373.txt	it-life-hack
movie-enter-6625135.txt	movie-enter
movie-enter-6332442.txt	movie-enter
kaden-channel-6881294.txt	kaden-channel
sports-watch-5732485.txt	sports-watch
sports-watch-6217502.txt	sports-watch
kaden-channel-5872103.txt	kaden-channel
movie-enter-6793785.txt	movie-enter
movie-enter-5908614.txt	movie-enter
peachy-4762955.txt	peachy
sports-watch-6363051.txt	sports-watch
livedoor-homme-5769353.txt	livedoor-homme
peachy-6511406.txt	peachy
kaden-channel-5923924.txt	kaden-channel
smax-6805308.txt	smax
peachy-5254009.txt	peachy
dokujo-tsushin-5165727.txt	dokujo-tsushin
sports-watch-5292035.txt	sports-watch
kaden-channel-6077946.txt	kaden-channel
topic-news-6260676.txt	topic-news
dokujo-tsushin-6104354.txt	dokujo-tsushin
it-life-hack-6542449.txt	it-life-hack
topic-news-5947111.txt	topic-news
smax-6793152.txt	smax
dokujo-tsushin-6854038.txt	dokujo-tsushin
peachy-4951570.txt	peachy
peachy-6227548.txt	peachy
kaden-channel-6800731.txt	kaden-channel
kaden-channel-5819188.txt	kaden-channel
